Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[individual]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Comment[replicate]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[phenotype]
MPP1b	ERS2893234	SAMEA5081878	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1b	sequencing assay	ERX2901264	MPP1b_1.fastq.gz	MPP1b_1.fastq.gz	ERR2896355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2896355/ERR2896355_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1b	ERS2893234	SAMEA5081878	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1b	sequencing assay	ERX2901264	MPP1b_2.fastq.gz	MPP1b_2.fastq.gz	ERR2896355	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2896355/ERR2896355_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1c	ERS2893235	SAMEA5081879	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1c	sequencing assay	ERX2901265	MPP1c_1.fastq.gz	MPP1c_1.fastq.gz	ERR2896356	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2896356/ERR2896356_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1c	ERS2893235	SAMEA5081879	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1c	sequencing assay	ERX2901265	MPP1c_2.fastq.gz	MPP1c_2.fastq.gz	ERR2896356	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2896356/ERR2896356_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1d	ERS2893236	SAMEA5081880	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1d	sequencing assay	ERX2901266	MPP1d_1.fastq.gz	MPP1d_1.fastq.gz	ERR2896357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2896357/ERR2896357_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1d	ERS2893236	SAMEA5081880	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1d	sequencing assay	ERX2901266	MPP1d_2.fastq.gz	MPP1d_2.fastq.gz	ERR2896357	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2896357/ERR2896357_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP2a	ERS2893237	SAMEA5081881	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2a	sequencing assay	ERX2901267	MPP2a_1.fastq.gz	MPP2a_1.fastq.gz	ERR2896358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/008/ERR2896358/ERR2896358_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2a	ERS2893237	SAMEA5081881	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2a	sequencing assay	ERX2901267	MPP2a_2.fastq.gz	MPP2a_2.fastq.gz	ERR2896358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/008/ERR2896358/ERR2896358_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2b	ERS2893238	SAMEA5081882	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2b	sequencing assay	ERX2901268	MPP2b_1.fastq.gz	MPP2b_1.fastq.gz	ERR2896359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/009/ERR2896359/ERR2896359_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2b	ERS2893238	SAMEA5081882	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2b	sequencing assay	ERX2901268	MPP2b_2.fastq.gz	MPP2b_2.fastq.gz	ERR2896359	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/009/ERR2896359/ERR2896359_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2c	ERS2893239	SAMEA5081883	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2c	sequencing assay	ERX2901269	MPP2c_1.fastq.gz	MPP2c_1.fastq.gz	ERR2896360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2896360/ERR2896360_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2c	ERS2893239	SAMEA5081883	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2c	sequencing assay	ERX2901269	MPP2c_2.fastq.gz	MPP2c_2.fastq.gz	ERR2896360	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2896360/ERR2896360_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2d	ERS2893240	SAMEA5081884	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2d	sequencing assay	ERX2901270	MPP2d_1.fastq.gz	MPP2d_1.fastq.gz	ERR2896361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/001/ERR2896361/ERR2896361_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP2d	ERS2893240	SAMEA5081884	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP2d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP2d	sequencing assay	ERX2901270	MPP2d_2.fastq.gz	MPP2d_2.fastq.gz	ERR2896361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/001/ERR2896361/ERR2896361_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48+ CD34+
MPP3a	ERS2893241	SAMEA5081885	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3a	sequencing assay	ERX2901271	MPP3a_1.fastq.gz	MPP3a_1.fastq.gz	ERR2896362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2896362/ERR2896362_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3a	ERS2893241	SAMEA5081885	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3a	sequencing assay	ERX2901271	MPP3a_2.fastq.gz	MPP3a_2.fastq.gz	ERR2896362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2896362/ERR2896362_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3b	ERS2893242	SAMEA5081886	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3b	sequencing assay	ERX2901272	MPP3b_1.fastq.gz	MPP3b_1.fastq.gz	ERR2896363	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/003/ERR2896363/ERR2896363_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3b	ERS2893242	SAMEA5081886	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3b	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3b	sequencing assay	ERX2901272	MPP3b_2.fastq.gz	MPP3b_2.fastq.gz	ERR2896363	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/003/ERR2896363/ERR2896363_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3c	ERS2893243	SAMEA5081887	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3c	sequencing assay	ERX2901273	MPP3c_1.fastq.gz	MPP3c_1.fastq.gz	ERR2896364	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2896364/ERR2896364_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3c	ERS2893243	SAMEA5081887	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3c	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3c	sequencing assay	ERX2901273	MPP3c_2.fastq.gz	MPP3c_2.fastq.gz	ERR2896364	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2896364/ERR2896364_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3d	ERS2893244	SAMEA5081888	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3d	sequencing assay	ERX2901274	MPP3d_1.fastq.gz	MPP3d_1.fastq.gz	ERR2896365	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2896365/ERR2896365_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
MPP3d	ERS2893244	SAMEA5081888	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP3d	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP3d	sequencing assay	ERX2901274	MPP3d_2.fastq.gz	MPP3d_2.fastq.gz	ERR2896365	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2896365/ERR2896365_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150- CD48+ CD34+
