Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MPP3b_1	MPP3b_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37406838.0	0.0	125.0	37.0	6.291003114576172	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MPP3b_2	MPP3b_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37406838.0	0.0	125.0	41.0	11.523159228518516	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
MPP3c_1	MPP3c_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19321411.0	0.0	125.0	32.0	8.604357284341123	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MPP3c_2	MPP3c_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19321411.0	0.0	125.0	39.0	25.40607579241541	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
MPP3d_1	MPP3d_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28584169.0	0.0	125.0	40.0	7.993404508026279	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
MPP3d_2	MPP3d_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28584169.0	0.0	125.0	40.0	16.05650147735379	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
MPP4a_1	MPP4a_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22953327.0	0.0	125.0	36.0	7.884254635077145	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MPP4a_2	MPP4a_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22953327.0	0.0	125.0	41.0	17.653786742214763	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
MPP4b_1	MPP4b_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20748211.0	0.0	125.0	34.0	7.3271146616531295	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MPP4b_2	MPP4b_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20748211.0	0.0	125.0	40.0	20.78021770249973	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
MPP4c_1	MPP4c_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21690353.0	0.0	125.0	41.0	8.641941067613681	125.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
MPP4c_2	MPP4c_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21690353.0	0.0	125.0	42.0	16.92170324758922	125.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
MPP4d_1	MPP4d_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28602913.0	0.0	125.0	42.0	7.1067196256271625	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
MPP4d_2	MPP4d_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28602913.0	0.0	125.0	43.0	20.304366843930012	125.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
